Search type  | Vertices   | Edge percentage | Basic operations |             Time (s)
greedy       | 46         | 75              | 23               |  0.05814027786254883
exaustive    | 46         | 75              | 1                | 8.511543273925781e-05
greedy       | 47         | 12.5            | 22               | 0.0068378448486328125
exaustive    | 47         | 12.5            | 1                | 2.8371810913085938e-05
greedy       | 47         | 25              | 21               | 0.013340950012207031
exaustive    | 47         | 25              | 1                | 4.649162292480469e-05
greedy       | 47         | 50              | 22               | 0.031972408294677734
exaustive    | 47         | 50              | 1                | 7.176399230957031e-05
greedy       | 47         | 75              | 23               |  0.05290865898132324
exaustive    | 47         | 75              | 1                | 0.00010585784912109375
greedy       | 48         | 12.5            | 22               | 0.008953094482421875
exaustive    | 48         | 12.5            | 1                |  3.4332275390625e-05
greedy       | 48         | 25              | 24               | 0.023533105850219727
exaustive    | 48         | 25              | 1                | 4.506111145019531e-05
greedy       | 48         | 50              | 23               | 0.045247554779052734
exaustive    | 48         | 50              | 1                | 6.723403930664062e-05
greedy       | 48         | 75              | 24               |  0.08780908584594727
exaustive    | 48         | 75              | 1                | 9.822845458984375e-05
greedy       | 49         | 12.5            | 22               |  0.01013946533203125
exaustive    | 49         | 12.5            | 1                | 3.170967102050781e-05
greedy       | 49         | 25              | 23               | 0.019670724868774414
exaustive    | 49         | 25              | 1                | 4.482269287109375e-05
greedy       | 49         | 50              | 23               |  0.03712105751037598
exaustive    | 49         | 50              | 1                | 6.818771362304688e-05
greedy       | 49         | 75              | 24               |  0.07117772102355957
exaustive    | 49         | 75              | 1                | 0.000125885009765625
greedy       | 50         | 12.5            | 22               | 0.011548995971679688
exaustive    | 50         | 12.5            | 1                | 3.170967102050781e-05
greedy       | 50         | 25              | 22               | 0.019716978073120117
exaustive    | 50         | 25              | 1                | 4.482269287109375e-05
greedy       | 50         | 50              | 24               |  0.04506659507751465
exaustive    | 50         | 50              | 1                | 6.985664367675781e-05
greedy       | 50         | 75              | 25               |   0.0736246109008789
exaustive    | 50         | 75              | 1                | 0.00011587142944335938
greedy       | 51         | 12.5            | 23               |  0.00853419303894043
exaustive    | 51         | 12.5            | 1                | 3.314018249511719e-05
greedy       | 51         | 25              | 24               | 0.026684045791625977
exaustive    | 51         | 25              | 1                | 4.38690185546875e-05
greedy       | 51         | 50              | 25               |  0.03932785987854004
exaustive    | 51         | 50              | 1                |  7.2479248046875e-05
greedy       | 51         | 75              | 25               |  0.08728504180908203
exaustive    | 51         | 75              | 1                | 0.0001628398895263672
greedy       | 52         | 12.5            | 23               | 0.015073060989379883
exaustive    | 52         | 12.5            | 1                | 3.5762786865234375e-05
greedy       | 52         | 25              | 24               | 0.020917654037475586
exaustive    | 52         | 25              | 1                | 5.745887756347656e-05
greedy       | 52         | 50              | 25               |   0.0555875301361084
exaustive    | 52         | 50              | 1                | 8.368492126464844e-05
greedy       | 52         | 75              | 25               |  0.09302186965942383
exaustive    | 52         | 75              | 1                | 0.0001201629638671875
greedy       | 53         | 12.5            | 25               |  0.01656317710876465
exaustive    | 53         | 12.5            | 1                | 3.6716461181640625e-05
greedy       | 53         | 25              | 26               | 0.025632858276367188
